InputName,MatchedEDGARName,Score,CIK,Ticker,Candidates
A. O. Smith,SMITH A O CORP,85.5,0000091142,AOS,"85.5:SMITH A O CORP (AOS/0000091142) | 85.5:JBG SMITH Properties (JBGS/0001689796) | 85.5:Smith Douglas Homes Corp. (SDHC/0001982518) | 85.5:SMITH & WESSON BRANDS, INC. (SWBI/0001092796) | 85.5:SMITH MICRO SOFTWARE, INC. (SMSI/0000948708)"
Air Products,"Air Products & Chemicals, Inc.",90.0,0000002969,APD,"90.0:Air Products & Chemicals, Inc. (APD/0000002969) | 90.0:CTS CORP (CTS/0000026058) | 86.08695652173914:Green Star Products, Inc. (GSPI/0001461708) | 85.5:ENTERPRISE PRODUCTS PARTNERS L.P. (EPD/0001061219) | 85.5:WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP (WAB/0000943452)"
Alphabet Inc. (Class A),Alphabet Inc.,90.0,0001652044,GOOGL,90.0:Alphabet Inc. (GOOGL/0001652044) | 90.0:Alphabet Inc. (GOOG/0001652044) | 85.5:DEUTSCHE LUFTHANSA A G /FI (DLAKY/0001049724) | 85.5:SMITH A O CORP (AOS/0000091142) | 85.5:TURKCELL ILETISIM HIZMETLERI A S (TKC/0001071321)
Alphabet Inc. (Class C),Alphabet Inc.,90.0,0001652044,GOOGL,"90.0:Alphabet Inc. (GOOGL/0001652044) | 90.0:Alphabet Inc. (GOOG/0001652044) | 72.0:Alphatec Holdings, Inc. (ATEC/0001350653) | 69.23076923076923:TALPHERA, INC. (TLPH/0001427925) | 68.4:TSS, Inc. (TSSI/0001320760)"
Amazon,AMAZON COM INC,90.0,0001018724,AMZN,"90.0:AMAZON COM INC (AMZN/0001018724) | 80.0:AAON, INC. (AAON/0000824142) | 72.72727272727273:Damon Inc. (DMNIF/0002000640) | 72.72727272727273:AMAZE HOLDINGS, INC. (AMZE/0001880343) | 72.0:Aon plc (AON/0000315293)"
Archer Daniels Midland,Archer-Daniels-Midland Co,90.9090909090909,0000007084,ADM,"90.9090909090909:Archer-Daniels-Midland Co (ADM/0000007084) | 85.5:SMITH MIDLAND CORP (SMID/0000924719) | 75.00000000000001:MARCHEX INC (MCHX/0001224133) | 72.0:AAR CORP (AIR/0000001750) | 72.0:Arq, Inc. (ARQ/0001515156)"
BNY Mellon,"BNY MELLON STRATEGIC MUNICIPALS, INC.",90.0,0000818972,LEO,"90.0:BNY MELLON STRATEGIC MUNICIPALS, INC. (LEO/0000818972) | 90.0:BNY MELLON STRATEGIC MUNICIPAL BOND FUND, INC. (DSM/0000855887) | 90.0:BNY MELLON HIGH YIELD STRATEGIES FUND (DHF/0001057861) | 90.0:BNY Mellon Municipal Bond Infrastructure Fund, Inc. (DMB/0001565381) | 90.0:BNY Mellon Alcentra Global Multi-Strategy Credit Fund, Inc. (XALCX/0001729678)"
C.H. Robinson,"C. H. ROBINSON WORLDWIDE, INC.",85.5,0001043277,CHRW,"85.5:C. H. ROBINSON WORLDWIDE, INC. (CHRW/0001043277) | 77.14285714285715:Sony Group Corp (SONY/0000313838) | 77.14285714285715:Sony Group Corp (SNEJF/0000313838) | 72.0:Aon plc (AON/0000315293) | 67.5:OLIN Corp (OLN/0000074303)"
Capital One,CAPITAL ONE FINANCIAL CORP,90.0,0000927628,COF,90.0:CAPITAL ONE FINANCIAL CORP (COF/0000927628) | 90.0:APi Group Corp (APG/0001796209) | 90.0:CAPITAL ONE FINANCIAL CORP (COF-PI/0000927628) | 90.0:CAPITAL ONE FINANCIAL CORP (COF-PJ/0000927628) | 90.0:CAPITAL ONE FINANCIAL CORP (COF-PK/0000927628)
Charles River Laboratories,"CHARLES RIVER LABORATORIES INTERNATIONAL, INC.",90.0,0001100682,CRL,"90.0:CHARLES RIVER LABORATORIES INTERNATIONAL, INC. (CRL/0001100682) | 85.5:SCHWAB CHARLES CORP (SCHW/0000316709) | 85.5:Knife River Corp (KNF/0001955520) | 85.5:MESA LABORATORIES INC /CO/ (MLAB/0000724004) | 85.5:James River Group Holdings, Ltd. (JRVR/0001620459)"
